,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_Adj Close,ETH-USD_Volume,EURUSD=X_Open,EURUSD=X_High,EURUSD=X_Low,EURUSD=X_Close,EURUSD=X_Adj Close,EURUSD=X_Volume,JPY=X_Open,JPY=X_High,JPY=X_Low,JPY=X_Close,JPY=X_Adj Close,JPY=X_Volume,CNY=X_Open,CNY=X_High,CNY=X_Low,CNY=X_Close,CNY=X_Adj Close,CNY=X_Volume,GBPUSD=X_Open,GBPUSD=X_High,GBPUSD=X_Low,GBPUSD=X_Close,GBPUSD=X_Adj Close,GBPUSD=X_Volume,^GSPC_Open,^GSPC_High,^GSPC_Low,^GSPC_Close,^GSPC_Adj Close,^GSPC_Volume,^IXIC_Open,^IXIC_High,^IXIC_Low,^IXIC_Close,^IXIC_Adj Close,^IXIC_Volume,GC=F_Open,GC=F_High,GC=F_Low,GC=F_Close,GC=F_Adj Close,GC=F_Volume
2020-03-21,133.1017608642578,135.972412109375,127.16375732421876,132.81871032714844,132.81871032714844,13684083308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,132.85113525390625,136.15164184570312,122.90933227539062,123.32115173339844,123.32115173339844,12497707224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,123.36598205566406,134.91160583496094,121.86788177490234,134.91160583496094,134.91160583496094,14149877968.0,1.0687528848648071,1.0824854373931885,1.0660412311553955,1.0694386959075928,1.0694386959075928,0.0,110.40399932861328,111.3489990234375,109.68099975585938,110.46199798583984,110.46199798583984,0.0,7.094900131225586,7.12060022354126,7.079400062561035,7.094799995422363,7.094799995422363,0.0,1.1608604192733765,1.171165943145752,1.148026466369629,1.162304162979126,1.162304162979126,0.0,2290.7099609375,2300.72998046875,2191.860107421875,2237.39990234375,2237.39990234375,7411380000.0,6847.27978515625,6984.93994140625,6631.419921875,6860.669921875,6860.669921875,4348410000.0,1505.300048828125,1567.0,1490.199951171875,1567.0,1567.0,51.0
2020-03-24,135.1941375732422,141.9485321044922,133.1687774658203,138.76144409179688,138.76144409179688,14609068673.0,1.0764726400375366,1.0888501405715942,1.0753382444381714,1.0764610767364502,1.0764610767364502,0.0,110.86399841308594,111.48699951171876,110.11399841308594,110.8270034790039,110.8270034790039,0.0,7.091300010681152,7.091300010681152,7.055799961090088,7.091300010681152,7.091300010681152,0.0,1.1597833633422852,1.1789672374725342,1.1583727598190308,1.1595547199249268,1.1595547199249268,0.0,2344.43994140625,2449.7099609375,2344.43994140625,2447.330078125,2447.330078125,7563150000.0,7196.14990234375,7418.3701171875,7169.85986328125,7417.85986328125,7417.85986328125,4441080000.0,1592.699951171875,1685.5,1592.699951171875,1660.199951171875,1660.199951171875,442.0
2020-03-25,138.9149627685547,141.40379333496094,134.30422973632812,136.19589233398438,136.19589233398438,13433092920.0,1.0801235437393188,1.0849517583847046,1.0770175457000732,1.080263614654541,1.080263614654541,0.0,111.11499786376952,111.66799926757812,110.7519989013672,111.12000274658205,111.12000274658205,0.0,7.061999797821045,7.115799903869629,7.047200202941895,7.061999797821045,7.061999797821045,0.0,1.1791479587554932,1.1973179578781128,1.1647138595581057,1.1792036294937134,1.1792036294937134,0.0,2457.77001953125,2571.419921875,2407.530029296875,2475.56005859375,2475.56005859375,8300010000.0,7421.35986328125,7671.2099609375,7276.39990234375,7384.2998046875,7384.2998046875,4683630000.0,1676.5,1676.5,1631.0999755859375,1632.300048828125,1632.300048828125,476.0
2020-03-26,136.190673828125,138.83056640625,134.8860321044922,138.36155700683594,138.36155700683594,11367261176.0,1.0887553691864014,1.1025480031967163,1.0876539945602417,1.0889569520950315,1.0889569520950315,0.0,110.85800170898438,110.93399810791016,109.36100006103516,110.8759994506836,110.8759994506836,0.0,7.113500118255615,7.119999885559082,7.070099830627441,7.113500118255615,7.113500118255615,0.0,1.184413194656372,1.213916301727295,1.1822566986083984,1.1851149797439575,1.1851149797439575,0.0,2501.2900390625,2637.010009765625,2500.719970703125,2630.070068359375,2630.070068359375,7766990000.0,7462.2099609375,7809.830078125,7462.2099609375,7797.5400390625,7797.5400390625,4014670000.0,1660.5,1660.5,1650.0999755859375,1650.0999755859375,1650.0999755859375,3.0
2020-03-27,138.36993408203125,139.90269470214844,133.9379425048828,133.9379425048828,133.9379425048828,11396286629.0,1.1046184301376345,1.1086474657058716,1.0955182313919067,1.1048258543014526,1.1048258543014526,0.0,109.13600158691406,109.36399841308594,107.88400268554688,109.10900115966795,109.10900115966795,0.0,7.073100090026856,7.096700191497803,7.053999900817871,7.073100090026856,7.073100090026856,0.0,1.2193337678909302,1.237991452217102,1.215347409248352,1.2200626134872437,1.2200626134872437,0.0,2555.8701171875,2615.909912109375,2520.02001953125,2541.469970703125,2541.469970703125,6201670000.0,7554.25,7716.240234375,7491.14013671875,7502.3798828125,7502.3798828125,3989120000.0,1623.9000244140625,1623.9000244140625,1623.9000244140625,1623.9000244140625,1623.9000244140625,100638.0
2020-03-28,134.03274536132812,134.03274536132812,126.96218872070312,130.9864959716797,130.9864959716797,12162403960.0,1.1046184301376345,1.1086474657058716,1.0955182313919067,1.1048258543014526,1.1048258543014526,0.0,109.13600158691406,109.36399841308594,107.88400268554688,109.10900115966795,109.10900115966795,0.0,7.073100090026856,7.096700191497803,7.053999900817871,7.073100090026856,7.073100090026856,0.0,1.2193337678909302,1.237991452217102,1.215347409248352,1.2200626134872437,1.2200626134872437,0.0,2555.8701171875,2615.909912109375,2520.02001953125,2541.469970703125,2541.469970703125,6201670000.0,7554.25,7716.240234375,7491.14013671875,7502.3798828125,7502.3798828125,3989120000.0,1623.9000244140625,1623.9000244140625,1623.9000244140625,1623.9000244140625,1623.9000244140625,100638.0
2020-03-29,131.0153350830078,131.17408752441406,125.4500503540039,125.58373260498048,125.58373260498048,9938133669.0,1.1046184301376345,1.1086474657058716,1.0955182313919067,1.1048258543014526,1.1048258543014526,0.0,109.13600158691406,109.36399841308594,107.88400268554688,109.10900115966795,109.10900115966795,0.0,7.073100090026856,7.096700191497803,7.053999900817871,7.073100090026856,7.073100090026856,0.0,1.2193337678909302,1.237991452217102,1.215347409248352,1.2200626134872437,1.2200626134872437,0.0,2555.8701171875,2615.909912109375,2520.02001953125,2541.469970703125,2541.469970703125,6201670000.0,7554.25,7716.240234375,7491.14013671875,7502.3798828125,7502.3798828125,3989120000.0,1623.9000244140625,1623.9000244140625,1623.9000244140625,1623.9000244140625,1623.9000244140625,100638.0
2020-03-30,125.57789611816406,133.91146850585938,125.28968048095705,132.904541015625,132.904541015625,11841123306.0,1.1135361194610596,1.1137841939926147,1.1012245416641235,1.113908290863037,1.113908290863037,0.0,107.43900299072266,108.28700256347656,107.15299987792967,107.41300201416016,107.41300201416016,0.0,7.095300197601318,7.10290002822876,7.082399845123291,7.095300197601318,7.095300197601318,0.0,1.2448649406433103,1.2467273473739624,1.2319822311401367,1.245319128036499,1.245319128036499,0.0,2558.97998046875,2631.800048828125,2545.280029296875,2626.64990234375,2626.64990234375,5751120000.0,7583.4599609375,7784.35009765625,7539.97021484375,7774.14990234375,7774.14990234375,3870770000.0,1641.199951171875,1652.800048828125,1607.199951171875,1622.0,1622.0,16389.0
