date,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply
2021-11-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-19 00:00:00,0.0004658008481526199,0.0005067456134359993,-0.020724257831926995,-0.017623853784300758,-0.031129728754844876,0.0004138344012281081,-0.03282312925170072,-0.13618286274541747,0.00019286403085816417,-0.05378321964201005,0.0,0.05684027250251944,0.006282973583274565,4.767665817562161e-05
2021-11-20 00:00:00,0.0004061251792815135,0.00045709003480687294,-0.09753207319137625,-0.11002962987282139,-0.12316354019225972,0.0003627149873799418,-0.1868120274309829,-0.1315698898112504,0.0002040868030435128,0.06823130142926082,0.0,-0.06387315306897101,-0.17754540744624903,4.868084446374432e-05
2021-11-21 00:00:00,0.00044897851861480653,0.0004191852889321446,-0.0825070283413114,-0.006811943553900135,-0.1069608895582651,0.0003238012221173925,-0.10837694070838555,0.14498804589894365,0.0001857514561085516,-0.09148754324852171,0.0,0.1007003729763376,0.07116336515717836,4.073313067065598e-05
2021-11-22 00:00:00,0.0004501570827060153,0.0004790714113653838,0.14334478939141415,0.08154718654313564,0.25214735208500594,0.0004053156011891712,0.310617451617597,-0.03455804044550137,0.0001983794788387172,0.08209895375403953,0.0,-0.075870098080421,0.0633510410670548,4.9312093645337285e-05
2021-11-23 00:00:00,0.0003486599527742218,0.000788267562581435,0.6461917685431866,0.05847322476856465,0.01517382193326533,0.00041129908201376075,-0.018208060397468584,-0.004171717445808132,0.0001856801237867245,-0.08022144061897751,0.0,0.08721821116700257,-0.009605947806093917,4.1365033390583505e-05
2021-11-24 00:00:00,0.0006700493724385304,0.0009632068290652551,0.24779725991233037,0.10804954784599485,0.05472104897300989,0.00043362744865160785,0.00844359003354822,0.059059844383447135,0.00022080581464689608,0.18056561003950766,0.0,-0.15294839058835852,0.052228744056851406,5.1637950493343965e-05
2021-11-25 00:00:00,0.0006969896226844963,0.0005470804659022388,-0.1711991166874014,-0.09718112158529202,-0.038182189228159746,0.0004168898284799827,-0.01274623406720743,0.11826489734964518,0.00018279247851138436,-0.16870417129854987,0.0,0.2029411979151612,-0.0008767281660966297,4.369139428339608e-05
2021-11-26 00:00:00,0.0006187053306145884,0.0006504830862033018,-0.042495256810316295,0.02899227886102551,0.017909814397417678,0.00042417941185002306,0.12501893078903525,-0.06257796595725706,0.00018557074955127817,0.00784497884263513,0.0,-0.007783914200419351,0.07897557792692012,4.3054002004438985e-05
2021-11-27 00:00:00,0.0004791791376403953,0.0004903843718591094,-0.2225519287833828,-0.20994890898471008,-0.17730014181004283,0.0003488243778566602,-0.2646563909268358,-0.29786562694772034,0.00020099767939041335,0.0958526178706316,0.0,-0.08746853026356982,-0.3127801663626838,4.7976932944893136e-05
2021-11-28 00:00:00,0.00048522872730361044,0.00047656013555874566,-0.10525920977899383,0.01981805193137487,-0.11210795858098765,0.0003096103893003299,-0.04961098398169339,0.247990827405139,0.00019533610457656003,-0.042249026228296405,-0.009236281989998707,0.034469027066911684,0.04893741533459761,4.829234405900884e-05
2021-11-29 00:00:00,0.000523892714906049,0.0006790506422313936,0.3710435962951133,0.21435880258144024,0.40945791699412437,0.0004362477475481352,0.37546951748049695,-0.08331329804105847,0.0002009180408946154,0.0429272666633429,-0.005745191481513534,-0.04666908201621389,0.2575381725723649,4.4371743501914196e-05
2021-11-30 00:00:00,0.0005653110220300572,0.0005758530731063694,-0.06377923178391409,-0.02330930993207747,-0.02463018217904589,0.00042531734231832097,-0.03704092707348672,0.05181576983688263,0.00018823502969622652,-0.06553327739316583,0.0,0.07012906485353065,0.022176670664979747,4.431682751238064e-05
2021-12-01 00:00:00,0.0005773094154435388,0.0006068897510669302,-0.009766232473656045,0.09968531709996986,-0.018558847949475266,0.00041724648026786326,0.06275222686784221,-0.09836526417399738,0.0001924130279069569,0.002703349401425692,0.0,-0.0026960610065147605,0.13040228328375547,4.203823382664673e-05
2021-12-02 00:00:00,0.0007176400995758669,0.0006501103454665813,0.07697031183255021,0.11381427992981519,0.08612033756093496,0.00045299087914463243,-0.08388354828777667,-0.06758506122090124,0.00021765169269838402,0.14118359958589655,0.0,-0.12371681439965454,0.06724184025210178,5.4583875510161306e-05
2021-12-03 00:00:00,0.0005990233906387754,0.0005620966279606954,-0.10483067765394172,-0.14290126261861247,-0.0738106562898031,0.000419365356380208,0.017252324582695433,-0.009899845874710156,0.00023585501655198904,0.09573202859327834,0.0,-0.08736810287108288,-0.27694462173531265,5.892195688872448e-05
2021-12-04 00:00:00,0.0004692692648908814,0.0005896951018018459,0.004230509844039609,-0.0443578910782505,-0.12568113904025313,0.0003665053410732977,0.0241914760838442,0.4278810591965472,0.00021755301977632868,-0.06723860496054479,0.0,0.07208553582741639,0.006003892025769897,4.796059989065071e-05
2021-12-05 00:00:00,0.0004544143213720542,0.000577234317896469,0.03680465098925989,0.0011188371490920002,-0.15161585341816664,0.0003108234025670509,-0.24627240143369178,-0.2140928655800185,0.0002329415891948461,0.06269130003476442,0.0,-0.05899295499333779,0.1197220766945224,5.494560173691099e-05
2021-12-06 00:00:00,0.0008184667027173465,0.0003991657983526409,-0.097269854183616,0.09655887958079723,0.321792828500137,0.00041071648414803263,0.29563935517618534,0.41395532349776065,0.00024130495474827818,0.015379882137256384,0.0,-0.015146924227894876,-0.10339575600028139,5.885949149009306e-05
